route,n,late_rate,avg_dep_delay,p90_dep_delay
SFO-LAX,365,0.2876712328767123,15.931506849315069,61.80000000000007
LAS-LAX,345,0.2492753623188406,16.3768115942029,48.60000000000002
LAX-SFO,396,0.24494949494949494,12.782828282828282,49.5
DEN-PHX,313,0.24281150159744408,14.920127795527156,52.200000000000045
MCO-ATL,302,0.23178807947019867,14.850993377483444,55.900000000000034
ORD-LGA,373,0.225201072386059,19.579088471849865,71.0
LAX-LAS,347,0.21037463976945245,8.048991354466859,42.0
PHX-DEN,321,0.19937694704049844,14.523364485981308,39.0
LAX-JFK,331,0.1661631419939577,17.395770392749245,35.0
DCA-BOS,337,0.1632047477744807,11.646884272997033,50.80000000000007
LGA-ORD,335,0.1582089552238806,12.498507462686566,44.600000000000136
BOS-DCA,318,0.1540880503144654,5.7421383647798745,28.600000000000023
JFK-LAX,371,0.1293800539083558,8.876010781671159,24.0
OGG-HNL,366,0.10109289617486339,2.5136612021857925,16.5
KOA-HNL,301,0.09302325581395349,1.744186046511628,13.0
HNL-OGG,405,0.08641975308641975,2.071604938271605,14.0
